City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind speed,Country,Date
Puerto Baquerizo Moreno,-0.9,-89.6,73.4,78,75,14.99,EC,1595453586
Hermanus,-34.42,19.23,54.0,92,0,3.85,ZA,1595453345
Tasiilaq,65.61,-37.64,42.8,87,35,5.82,GL,1595453586
Coahuayana Viejo,18.73,-103.68,88.54,60,98,6.98,MX,1595453586
Vostok,46.49,135.88,64.11,94,97,1.12,RU,1595453515
Panguna,-6.32,155.48,74.62,85,72,2.95,PG,1595453587
Rikitea,-23.12,-134.97,66.97,59,100,13.91,PF,1595453486
Las Palmas,28.42,-14.01,73.4,88,20,13.87,ES,1595453587
Saint-Leu,-21.15,55.28,68.0,56,90,13.87,RE,1595453588
Kavaratti,10.57,72.64,81.66,81,78,11.79,IN,1595453588
Cap-aux-Meules,47.38,-61.86,71.6,56,75,9.17,CA,1595453588
Constitución,-35.33,-72.42,53.22,71,23,3.62,CL,1595453400
Nikolskoye,59.7,30.79,59.0,77,40,8.95,RU,1595453484
Cape Town,-33.93,18.42,55.0,93,0,1.12,ZA,1595453389
Jamestown,42.1,-79.24,79.0,73,20,12.75,US,1595453589
Longyearbyen,78.22,15.64,46.4,81,75,10.29,SJ,1595453517
Bluff,-46.6,168.33,39.0,83,97,3.0,NZ,1595453502
Mouila,-1.87,11.06,73.04,80,73,2.04,GA,1595453590
Bundaberg,-24.85,152.35,59.0,93,90,10.29,AU,1595453590
Rawson,-43.3,-65.1,41.76,67,100,14.41,AR,1595453590
Chapleau,47.84,-83.4,64.4,77,90,4.7,CA,1595453591
Dikson,73.51,80.55,39.99,92,41,7.76,RU,1595453591
Vaini,-21.2,-175.2,73.4,73,40,5.82,TO,1595453507
Lompoc,34.64,-120.46,69.8,60,3,12.75,US,1595453459
Avarua,-21.21,-159.78,78.8,88,6,12.75,CK,1595453591
Arraial do Cabo,-22.97,-42.03,71.6,94,0,6.93,BR,1595453592
Talnakh,69.49,88.4,50.0,87,0,22.37,RU,1595453592
Banda Aceh,5.56,95.32,77.63,79,100,9.1,ID,1595453592
Saskylakh,71.92,114.08,45.3,94,100,11.45,RU,1595453505
Lebu,-37.62,-73.65,50.4,81,32,2.71,CL,1595453593
Chokurdakh,70.63,147.92,83.61,41,69,4.7,RU,1595453593
Pevek,69.7,170.31,52.34,56,100,11.39,RU,1595453593
